date,name_first_line
2014-08-11T07:48:40Z,DATAREDIS-335 - Upgrade to jedis 2.5.2.
2014-08-11T07:12:12Z,DATAREDIS-330 - Add support for SENTINEL commands.
2014-08-05T07:00:15Z,DATAREDIS-324 - Add Redis Sentinel support.
2014-07-31T05:14:47Z,DATAREDIS-333 - Use binary version of Jedis.evalsha()
2014-07-23T12:09:19Z,DATAREDIS-327 - Improve exception handling for all supported clients.
2014-07-10T18:40:44Z,DATAREDIS-322 - After release cleanups.
2014-07-10T18:16:47Z,DATAREDIS-322 - Prepare next development iteration.
2014-07-10T18:16:43Z,DATAREDIS-322 - Release version 1.4.0.M1.
2014-07-10T15:14:50Z,DATAREDIS-322 - Prepare 1.4.0.M1 (Evans M1).
2014-07-10T15:14:44Z,DATAREDIS-322 - Updated changelog.
2014-07-10T15:11:43Z,DATAREDIS-320 - Updated changelog.
2014-07-10T08:48:19Z,DATAREDIS-321 - Adapt to Spring 4 upgrade.
2014-07-09T19:30:42Z,DATAREDIS-323 - Remove links to forum.spring.io.
2014-06-30T07:40:15Z,DATAREDIS-310 - Eagerly serialise key and value in RedisCache.
2014-06-30T06:13:26Z,DATAREDIS-317 - Report inappropriate RedisTemplate more eagerly in RedisAtomic wrappers.
2014-06-17T08:18:28Z,DATAREDIS-314 - Add SCAN commands to Collection types.
2014-06-12T06:20:31Z,"DATAREDIS-313 - Overhaul SCAN, HSCAN, SSCAN, ZSCAN operations."
