date,summary
2016-08-19T07:12:11Z,Could not change message selector at runtime
2016-08-18T23:40:17Z,Invalid WARN when returning a BeanDefinitionRegistryPostProcessor from within a @Configuration class
2016-08-18T15:07:45Z,Environment variables as properties stopped working after disabling XML validation
2016-08-18T03:46:12Z,`WebMvcConfigurer#extendHandlerExceptionResolvers` is not invoked
2016-08-17T16:28:00Z,CssLinkResourceTransformer is incompatible with ContentVersionStrategy when using Caching
2016-08-17T16:13:29Z,VersionResourceResolver-  Bug when CssLinkResourceTransformer handling relative links
2016-08-17T15:06:40Z,NoSuchBeanDefinitionException message shows internal array class names
2016-08-17T13:38:40Z,ReactorHttpClientConnector ignores SSL support
2016-08-17T13:33:37Z,Reactive response extractor does not invoke error handler
2016-08-15T19:20:33Z,CronSequenceGenerator.next() is not implemented as documented
2016-08-14T09:06:10Z,Encoding of flux data is incorrect
2016-08-13T01:38:28Z,HtmlUnitRequestBuilder corrupts the parent RequestBuilder
2016-08-11T21:50:12Z,NoSuchElementException when receiving a HTTP 401 with WebClient
2016-08-11T07:44:25Z,'Invalid column type' exception generated when writing a Boolean data member to Oracle database 
2016-08-10T11:29:52Z,Let users control reactive SSE stream completion
2016-08-10T10:51:12Z,When favorPathExtension is false ResourceHttpRequestHandler serves resources with different content type in 4.3 compared to 4.2
2016-08-10T07:52:52Z,Spring boot failing to start up while using experimental spring reactive 5.0
2016-08-09T14:50:42Z,Calling Validator.forExecutables throws an AbstractMethodError when using LocalValidatorFactoryBean and Hibernate Validator 5.2
2016-08-09T11:59:55Z,Spring HATEOAS implementation of VndErrors.VndError#logRef is not optional
2016-08-09T00:37:43Z,A RequestParam collections not being parsed properly
2016-08-08T14:09:26Z,StompSubProtocolHandler responds with ERROR (Session closed.) on DISCONNECT when using SimpleBrokerMessageHandler
2016-08-08T03:29:26Z,spring boot 1.4 support with hibernate 5.2.1
2016-08-05T23:41:44Z,SockJS heartbeat is causing  application send Message to fail similar to (SPR-14356)
2016-08-04T11:34:32Z,Forward leads to garbled output
2016-08-02T13:40:10Z,ArrayIndexOutOfBoundsException in MethodBasedEvaluationContext
2016-08-02T11:37:48Z,Reactive controller methods annotated with @PathVariable aren't invoked
2016-08-01T19:37:48Z,StackOverflowError for advisor search against factory-bean reference to FactoryBean
2016-07-31T13:05:02Z,Default connection release mode inconsistent with Hibernate 5.1.1
2016-07-29T15:22:13Z,mvc Parameter annotations are not inherited
2016-07-28T17:46:06Z,Both value and name attribute in AnnotationMetadata
2016-07-28T14:11:42Z,StackOverflowError at AbstractJackson2HttpMessageConverter.resolveVariable
2016-07-27T11:56:22Z,Do not fail with a circular @Import error caused by an @ComponentScan
2016-07-25T19:36:40Z,Transaction manager bean in TransactionInterceptor retained after JUnit test class completes
2016-07-25T01:40:20Z,LinkedCaseInsensitiveMap doesn't override HashMap.clone()
2016-07-21T11:43:02Z,ResourcePatternUtils.getResourcePatternResolver does not accept null arg
2016-07-21T11:36:35Z,SingleConnectionFactory stops connection on every stop/close on connection proxy
2016-07-20T13:41:57Z,ClassUtils.getConstructorIfAvailable doesn't respect inner classes
2016-07-20T13:28:56Z,Inherited Controller @RequestMapping does not work
2016-07-20T11:00:19Z,Pointcut using @target causes unexpected proxy creation
2016-07-20T03:31:56Z,"Use apache httpclient send request with header(content-type=application/x-protobuf) wihout Authorization header to visit LDAP protect resource, should not return 406 not acceptable"
2016-07-19T17:29:15Z, Nested @Async annotations can block indefinitely
2016-07-19T07:58:31Z,No processor claimed any of these annotations
2016-07-18T20:34:20Z,CronSequenceGenerator.next() returns incorrect time
2016-07-18T15:20:14Z,Mis-proxying of Mockito mock and poor diagnostics for type mismatch on proxy injection
2016-07-18T13:59:56Z,ReactorClientHttpConnector assumes that URI.port is valid
2016-07-17T19:52:01Z,NPE while try to use abstract beans with optional properties
2016-07-15T21:23:59Z,"AbstractAdaptableMessageListener should not ""eat"" exceptions in the onMessage()"
2016-07-15T17:20:01Z,Regression: character set in ContentResultMatchers.contentType(MediaType) is taken into accounts.
2016-07-15T06:50:39Z,Jackson 2.6.x -> 2.7 deserialize generic fails when calling Spring controller
2016-07-14T21:27:55Z,MessageHeaderAccessor doesn't remove headers if they are null
2016-07-14T19:24:12Z,Misleading exception message for invalid MethodParameter instance
2016-07-14T18:24:45Z,Ineffective synchronization in StandardTypeConverter constructor
2016-07-14T18:17:33Z,Incorrect output from spring:message if using parameterized strings containing single quotes
